listing_id,housing_program,county,estate,latitude,longitude,price_kes,bedrooms,property_type,schools_2km,hospitals_3km,transit_stops_1km,source,source_url,price_estimated
1,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 1,-1.274784,36.844038,3973756,2,apartment,22,17,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
2,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 2,-1.272655,36.844852,5783345,3,apartment,20,11,12,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
3,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 3,-1.276068,36.861524,4082823,2,apartment,22,10,14,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
4,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 4,-1.278211,36.843309,3973266,2,apartment,30,7,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
5,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 5,-1.283012,36.865074,3812940,2,apartment,20,16,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
6,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 6,-1.28685,36.852979,4894258,3,apartment,9,11,8,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
7,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 7,-1.273647,36.864998,5375927,3,apartment,19,8,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
8,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 8,-1.280252,36.846325,3340704,2,apartment,11,13,14,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
9,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 9,-1.275445,36.852269,2963054,2,apartment,12,15,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
10,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 10,-1.284024,36.861752,4731563,3,apartment,29,15,12,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
11,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 11,-1.275141,36.845132,5922649,4,apartment,30,6,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
