country,indicator_code,indicator_name,year,value
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1960,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1961,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1962,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1963,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1964,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1965,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1966,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1967,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1968,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1969,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1970,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1971,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1972,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1973,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1974,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1975,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1976,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1977,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1978,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1979,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1980,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1981,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1982,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1983,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1984,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1985,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1986,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1987,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1988,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1989,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1990,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1991,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1992,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1993,10.9
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1994,3.47343683242798
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1995,5.42734336853027
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1996,7.37853050231934
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1997,9.32631778717041
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1998,14.5
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),1999,13.2088918685913
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2000,15.2
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2001,17.0
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2002,18.9
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2003,16.0
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2004,22.6
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2005,24.5
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2006,26.4
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2007,28.3
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2008,30.3
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2009,23.0
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2010,19.2
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2011,36.2
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2012,38.1
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2013,40.1
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2014,36.0
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2015,41.6
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2016,53.1
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2017,55.8
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2018,61.2
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2019,69.7
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2020,71.5
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,76.5
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2022,76.0
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2023,76.2
