project_name,units_declared,source,source_url
Shauri Moyo,5300.0,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Starehe,3500.0,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Makongeni,20000.0,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Mavoko,8000.0,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Jogoo Road Estate Phase II,,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Jamaa Estate Likoni Road,,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Nyeri (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Meru (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Garissa (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Kisii (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Nakuru (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Murang'a (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Mombasa (Hobley Estate),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Kakamega (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Eldoret (County Headquarter),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Voi Pool Housing,,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Makueni District Headquarters (Housing),,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Kericho Pool Housing,,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
Kapsabet Pool Housing,,Boma Yangu AHP page,https://legacy.bomayangu.go.ke/Ahp
