listing_id,housing_program,county,estate,latitude,longitude,price_kes,bedrooms,property_type,schools_2km,hospitals_3km,transit_stops_1km
1,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 15 Unit 429,-1.314336,36.883566,4341236,3,apartment,10,6,18
2,County affordable,Uasin Gishu,Eldoret Langas — Block 3 Unit 1900,0.505215,35.273166,3095959,2,maisonette,23,12,11
3,County affordable,Kisumu,Kisumu Manyatta — Block 20 Unit 224,-0.131696,34.764783,5775997,3,apartment,7,6,12
4,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 14 Unit 1976,-1.438246,36.982951,5274554,3,maisonette,7,9,13
5,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 20 Unit 346,-1.434455,36.979843,4772500,3,apartment,27,4,4
6,Coast affordable,Mombasa,Mombasa Bamburi — Block 8 Unit 144,-3.98373,39.725415,4047074,2,apartment,28,6,13
7,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 23 Unit 994,-1.30063,36.888537,4050676,3,apartment,25,19,6
8,County affordable,Kisumu,Kisumu Manyatta — Block 13 Unit 915,-0.108622,34.7759,5350597,3,apartment,13,8,3
9,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 5 Unit 1245,-1.226418,36.905077,3093847,3,apartment,40,18,11
10,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 18 Unit 1298,-1.32717,36.881147,4549273,4,apartment,38,6,28
11,Private affordable,Kajiado,Ongata Rongai — Block 25 Unit 943,-1.391595,36.760126,3892904,2,apartment,12,12,13
12,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 16 Unit 387,-1.120531,36.939048,2149421,1,apartment,42,5,7
13,County affordable,Nakuru,Nakuru Pipeline — Block 4 Unit 1199,-0.313538,36.042588,2787401,1,maisonette,19,9,6
14,County affordable,Uasin Gishu,Eldoret Langas — Block 5 Unit 170,0.481747,35.273246,1963807,1,apartment,18,9,3
15,County affordable,Nakuru,Nakuru Pipeline — Block 3 Unit 607,-0.310553,36.064814,5411518,3,apartment,12,2,11
16,County affordable,Uasin Gishu,Eldoret Langas — Block 4 Unit 1375,0.481654,35.243659,2046595,1,apartment,28,9,6
17,Private affordable,Kajiado,Ongata Rongai — Block 11 Unit 394,-1.414397,36.765501,2549963,1,apartment,17,10,4
18,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 24 Unit 2130,-1.278105,36.861703,3592970,3,apartment,45,4,9
19,Coast affordable,Mombasa,Mombasa Likoni — Block 14 Unit 904,-4.095291,39.664013,4446497,3,apartment,10,4,14
20,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 19 Unit 377,-1.49889,36.966558,4666253,3,apartment,25,7,2
21,Private affordable,Kajiado,Ongata Rongai — Block 5 Unit 818,-1.414762,36.758575,3182781,1,apartment,5,4,6
22,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 2 Unit 345,-1.371181,36.927195,4058202,4,apartment,18,10,22
23,Boma Yangu / AHP,Nairobi,Starehe — Block 23 Unit 619,-1.267498,36.837269,2729379,2,apartment,44,16,10
24,Boma Yangu / AHP,Machakos,Kangundo Road — Block 21 Unit 429,-1.335841,37.017252,5086027,3,apartment,11,12,22
25,County affordable,Uasin Gishu,Eldoret Langas — Block 20 Unit 786,0.503483,35.265007,3720155,2,maisonette,26,10,11
26,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 26 Unit 695,-1.303859,36.901629,3817632,2,apartment,24,7,8
27,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 9 Unit 2056,-1.449949,36.946726,2604424,2,apartment,21,2,9
28,Coast affordable,Mombasa,Mombasa Likoni — Block 23 Unit 1470,-4.096356,39.662822,3550272,2,maisonette,19,10,7
29,Private affordable,Kajiado,Ongata Rongai — Block 11 Unit 992,-1.403172,36.771942,4661202,3,maisonette,13,10,7
30,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 16 Unit 854,-1.450978,36.984625,6005027,3,apartment,13,12,7
31,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 17 Unit 1487,-1.515385,36.956224,3740006,2,maisonette,8,2,11
32,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 22 Unit 1383,-1.210099,36.896451,3075106,3,apartment,39,8,9
33,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 3 Unit 973,-1.322155,36.894579,4240738,3,apartment,37,15,9
34,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 12 Unit 1146,-1.136602,36.984591,2233916,1,apartment,17,7,4
35,Coast affordable,Mombasa,Mombasa Bamburi — Block 3 Unit 709,-3.991702,39.733385,4063961,2,apartment,4,3,12
36,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 18 Unit 1357,-1.32703,36.902499,3930758,2,apartment,17,9,9
37,Coast affordable,Mombasa,Mombasa Bamburi — Block 15 Unit 1016,-3.977798,39.734042,3129713,2,apartment,15,12,4
38,Coast affordable,Mombasa,Mombasa Likoni — Block 18 Unit 339,-4.087398,39.645837,5420079,3,apartment,16,3,6
39,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 26 Unit 1129,-1.16691,36.98235,5582684,3,maisonette,39,19,11
40,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 23 Unit 1504,-1.317438,36.882253,3177374,3,apartment,39,13,20
41,Boma Yangu / AHP,Nairobi,Starehe — Block 5 Unit 1762,-1.269199,36.835545,2480441,2,apartment,14,13,8
42,County affordable,Uasin Gishu,Eldoret Langas — Block 7 Unit 895,0.516502,35.277541,2714380,2,apartment,24,4,4
43,County affordable,Nakuru,Nakuru Pipeline — Block 16 Unit 2031,-0.298542,36.048853,4176264,2,maisonette,20,11,3
44,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 13 Unit 391,-1.362641,36.935832,2630545,1,maisonette,10,12,23
45,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 5 Unit 1782,-1.314401,36.905151,3104575,2,apartment,9,7,6
46,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 23 Unit 155,-1.121547,36.938852,3134155,3,apartment,9,11,24
47,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 12 Unit 225,-1.459593,36.971257,3111937,2,apartment,23,9,5
48,Coast affordable,Mombasa,Mombasa Bamburi — Block 6 Unit 1277,-3.982976,39.712119,6731253,4,maisonette,16,4,14
49,County affordable,Kisumu,Kisumu Manyatta — Block 25 Unit 2049,-0.121965,34.772723,5426722,3,apartment,26,12,14
50,County affordable,Uasin Gishu,Eldoret Langas — Block 26 Unit 1453,0.484267,35.270841,3775740,2,maisonette,10,6,14
51,County affordable,Uasin Gishu,Eldoret Langas — Block 17 Unit 440,0.487177,35.258983,4080527,3,apartment,22,11,3
52,Boma Yangu / AHP,Nairobi,Starehe — Block 1 Unit 1590,-1.268138,36.848972,2925622,1,apartment,13,10,27
53,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 1 Unit 1162,-1.345727,36.932497,1753558,1,apartment,28,10,23
54,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 7 Unit 895,-1.495495,36.959414,6802023,4,apartment,25,5,3
55,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 21 Unit 1316,-1.490707,36.941109,3837350,3,maisonette,14,2,5
56,Boma Yangu / AHP,Nairobi,Park Road Ngara — Block 13 Unit 1086,-1.277516,36.835983,3820319,2,apartment,36,20,15
